# Simulation 9 (Up to date)
# 314 data points written for 7 variables.
#
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),Forza d'attrito (N),Coefficiente d'attrito (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-3.369e-4,-0.067,0.098,4.59e-4,-3.964e-7,0.52
0.02,4.543e-5,0.009,0.098,4.589e-4,0,0.518
0.03,0.001,0.187,0.098,4.589e-4,7.985e-6,0.517
0.04,0.005,0.549,0.098,4.589e-4,1.797e-4,0.512
0.05,0.013,1.095,0.098,4.589e-4,0.001,0.502
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.028,1.826,0.098,4.588e-4,0.004,0.485
0.07,0.05,2.742,0.098,4.588e-4,0.011,0.464
0.08,0.083,3.808,0.098,4.588e-4,0.022,0.441
0.09,0.127,4.885,0.097,4.587e-4,0.035,0.423
0.1,0.181,5.944,0.097,4.586e-4,0.05,0.408
0.11,0.245,6.967,0.097,4.586e-4,0.065,0.396
0.12,0.32,7.961,0.097,4.585e-4,0.081,0.386
0.13,0.404,8.951,0.097,4.585e-4,0.098,0.377
0.14,0.499,9.94,0.097,4.584e-4,0.115,0.37
0.15,0.603,10.927,0.097,4.584e-4,0.134,0.363
0.159,0.707,11.841,0.097,4.583e-4,0.152,0.359
0.168,0.811,12.692,0.097,4.583e-4,0.172,0.359
0.175,0.914,13.494,0.097,4.583e-4,0.191,0.359
# Event LAUNCHROD occurred at t=0.183 seconds
0.183,1.017,14.255,0.097,4.582e-4,0.211,0.359
0.194,1.182,15.408,0.097,4.582e-4,0.242,0.359
0.211,1.453,17.163,0.097,4.581e-4,0.294,0.359
0.236,1.916,19.84,0.096,4.579e-4,0.382,0.359
0.273,2.738,23.951,0.096,4.577e-4,0.539,0.359
0.323,4.076,29.592,0.096,4.574e-4,0.803,0.359
0.373,5.7,35.36,0.095,4.572e-4,1.131,0.359
0.423,7.615,41.232,0.095,4.569e-4,1.526,0.359
0.473,9.824,47.131,0.095,4.566e-4,1.985,0.359
0.523,12.328,53.04,0.094,4.563e-4,2.508,0.358
0.573,15.128,58.952,0.094,4.56e-4,3.101,0.358
0.623,18.223,64.852,0.093,4.557e-4,3.762,0.358
0.673,21.611,70.656,0.093,4.554e-4,4.48,0.358
0.723,25.286,76.342,0.092,4.551e-4,5.248,0.357
0.773,29.241,81.867,0.092,4.548e-4,6.05,0.357
0.823,33.468,87.209,0.092,4.545e-4,6.876,0.357
0.873,37.956,92.301,0.091,4.543e-4,7.714,0.357
0.923,42.692,97.13,0.091,4.54e-4,8.554,0.356
0.973,47.662,101.641,0.09,4.538e-4,9.386,0.356
1.023,52.848,105.81,0.09,4.535e-4,10.192,0.356
1.073,58.235,109.667,0.09,4.533e-4,10.966,0.356
1.123,63.809,113.263,0.089,4.531e-4,11.712,0.355
1.173,69.558,116.709,0.089,4.529e-4,12.449,0.355
1.223,75.445,118.764,0.089,4.527e-4,12.9,0.355
1.273,81.402,119.511,0.089,4.526e-4,13.065,0.355
1.323,87.324,119.376,0.089,4.526e-4,13.026,0.355
1.373,93.272,118.527,0.089,4.526e-4,12.826,0.355
# Event BURNOUT occurred at t=1.42 seconds
1.42,98.84,117.362,0.089,4.526e-4,12.561,0.355
1.47,104.674,116.013,0.089,4.526e-4,12.259,0.355
1.52,110.442,114.685,0.089,4.526e-4,11.964,0.355
1.57,116.143,113.377,0.089,4.526e-4,11.676,0.355
1.62,121.78,112.088,0.089,4.526e-4,11.397,0.355
1.67,127.352,110.816,0.089,4.526e-4,11.127,0.355
1.72,132.862,109.562,0.089,4.526e-4,10.865,0.356
1.77,138.309,108.326,0.089,4.526e-4,10.609,0.356
1.82,143.695,107.108,0.089,4.526e-4,10.359,0.356
1.87,149.02,105.909,0.089,4.526e-4,10.116,0.356
1.92,154.286,104.726,0.089,4.526e-4,9.88,0.356
